id,time0
r_0337,-1.448676039
r_0338,-0.01
r_0339,0.31484532
r_0340,-1.44
r_0341,-0.003148453
r_0342,-0.003148453
r_0343,-0.003148453
r_0344,-0.003148453
r_0345,0
r_0346,0
r_0347,4.45E-11
r_0348,0
r_0349,4.30E-08
r_0350,0.234134983
r_0351,0
r_0352,0
r_0353,0.003148453
r_0354,0
r_0355,-3.44E-08
r_0356,0.003148453
r_0357,0
r_0358,0
r_0359,0
r_0360,0
r_0361,-0.234134983
r_0362,0
r_0363,0
r_0364,0
r_0365,0
r_0366,1.38E-08
r_0367,0
r_0368,0
r_0369,0
r_0370,-0.234134983
r_0371,0
r_0372,0
r_0373,0
r_0374,0
r_0375,-2.23E-07
r_0376,0
r_0377,0
r_0378,0
r_0379,0
r_0380,0
r_0381,0.228787618
r_0382,0
r_0383,0
r_0384,-0.234134983
r_0385,0.234134983
r_0386,0
r_0387,0.234134983
r_0388,0
r_0389,0
r_0390,0
r_0391,3.27E-14
r_0392,0
r_0393,0.234134983
r_0394,-7.79E-08
r_0395,0
r_0396,0
r_0397,0
r_0398,0
r_0399,-1.204105272
r_0400,-0.234134983
r_0401,0.018890738
r_0402,0
r_0403,0
r_0404,-3.51E-08
r_0405,0
r_0406,0.640679774
r_0407,0
r_0408,1.06E-07
r_0409,0
r_0410,-0.32114226
r_0411,1.744630576
r_0412,0
r_0413,0
r_0414,0.015742285
r_0415,0.32114226
r_0416,0
r_0417,0
r_0418,0.158996903
r_0419,0.31484539
r_0420,-0.640679774
r_0421,-3.51E-08
r_0422,0
r_0423,-2.04E-07
r_0424,0
r_0425,0.32114226
r_0426,0
r_0427,0
r_0428,0
r_0429,-4.90E-07
r_0430,0.234134983
r_0431,0
r_0432,0
r_0433,0
r_0434,0
r_0435,0.00314841
r_0436,0
r_0437,0
r_0438,-0.234134983
r_0439,-0.314845325
r_0440,0.31484539
r_0441,0
r_0442,0
r_0443,0.003148453
r_0444,3.842862123
r_0445,0.32114226
r_0446,-4.90E-07
r_0447,1.38E-08
r_0448,0
r_0449,0
r_0450,0
r_0451,0
r_0452,0
r_0453,0
r_0454,0
r_0455,0
r_0456,0.851478461
r_0457,0.006296906
r_0458,0.234134983
r_0459,0
r_0460,0.01
r_0461,-0.234134983
r_0462,-3.27E-14
r_0463,0
r_0464,-0.640679774
r_0465,0
r_0466,0
r_0467,0
r_0468,0
r_0469,0
r_0470,-3.27E-14
r_0471,0.787500691
r_0472,0.629690751
r_0473,0
r_0474,0.003148453
r_0475,0.34003299
r_0476,0
r_0477,-4.45E-11
r_0478,0
r_0479,0.314845351
r_0480,0
r_0481,0
r_0482,0
r_0483,0
r_0484,0.787500691
r_0485,0.34003299
r_0486,0
r_0487,0
r_0488,0
r_0489,-2.04E-07
r_0490,0
r_0491,0
r_0492,0
r_0493,0.018890738
r_0494,0.003148453
r_0495,0
r_0496,0.32114226
r_0497,0
r_0498,0
r_0499,0
r_0500,0.314845352
r_0501,2.04E-07
r_0502,0
r_0503,0
r_0504,0
r_0505,0.31484532
r_0506,0
r_0507,0.003148453
BIOMASS_0508,0.385492154
r_0509,-0.003148453
r_0510,-0.003148453
r_0511,0.15742266
r_0512,0.15742266
r_0513,0.314845786
r_0514,0
r_0515,0.314845786
r_0516,0
r_0517,0
r_0518,0
r_0519,0
r_0520,-4.79E-09
r_0521,1.909506848
r_0522,-0.314845325
r_0523,0.01
r_0524,0.01
r_0525,0
r_0526,0.423676265
r_0527,0.003148453
r_0528,0.003148453
r_0529,0.003148453
r_0530,0.385492154
r_0531,0
r_0532,0
r_0533,3.21E-23
r_0534,0
r_0535,2.58E-23
r_0536,0
r_0537,0
r_0538,0
r_0539,0
r_0540,-3.27E-14
r_0541,0
r_0542,0
r_0543,0
r_0544,0
r_0545,0
r_0546,0
r_0547,0
r_0548,-1.06E-07
r_0549,0
r_0550,0
r_0551,0
r_0552,0
r_0553,0
r_0554,0
r_0555,1.74E-16
r_0556,-0.00944536
r_0557,0.00944536
r_0558,0
r_0559,0
r_0560,0
r_0561,0
r_0562,0
r_0563,0
r_0564,0
r_0565,0
r_0566,0
r_0567,0
r_0568,0
r_0570,0.31484542
r_0571,0
r_0572,-2.843795748
r_0573,0
r_0574,0
r_0575,0
r_0576,0.799026066
r_0577,0
r_0578,-0.209193941
r_0579,0.32114226
r_0580,0
r_0581,0
r_0582,0
r_0583,0
r_0584,8.974053486
r_0586,0
r_0587,0
r_0588,0
r_0589,0
r_0590,0.314845351
r_0591,0
r_0592,0
r_0593,0
r_0594,0
r_0595,0
r_0596,1.80E-08
r_0597,0
r_0598,-1.80E-08
r_0599,0
r_0600,0
r_0601,0
r_0602,0
r_0603,0
r_0604,-1.19E-08
r_0605,-1.19E-08
r_0606,0
r_0607,0
r_0608,0.234134983
r_0609,0
r_0610,0
r_0611,-0.006296906
r_0612,0
r_0613,0
r_0614,0.20989688
r_0615,0
r_0616,0
r_0617,0.548980303
r_0618,0
r_0619,0
r_0620,0
r_0621,0
r_0622,3.74E-08
r_0623,0
r_0624,-2.14E-07
r_0625,0
r_0626,0
r_0627,0
r_0628,0
r_0629,0
r_0630,0
r_0631,0
r_0632,-0.152684358
r_0633,0
r_0634,0
r_0635,0
r_0636,0
r_0637,0
r_0638,0
r_0639,0
r_0640,0.025187626
r_0641,1.934348472
r_0642,1.934348472
r_0643,0
r_0644,0
r_0645,0
r_0646,-0.018890724
r_0647,0
