id,time0
r_0242,0.5246198
r_0243,0.535112206
r_0244,0
r_0245,-2.41E-08
r_0246,7.78E-09
r_0247,0.005246198
r_0248,0.5246198
r_0249,0.005246198
r_0250,0
r_0251,0
r_0252,0.005246198
r_0253,0
r_0254,0.5246198
r_0255,0
r_0256,0
r_0257,0
r_0258,2.41E-08
r_0259,0
r_0260,-5.75E-08
r_0261,0.5246198
r_0262,9.017778013
r_0263,1.446923141
r_0264,2.124710276
r_0265,3.51E-08
r_0266,0
r_0267,2.41E-08
r_0268,0
r_0269,0
r_0270,0.262309888
r_0271,0
r_0272,0.911810935
r_0273,0.010492352
r_0274,0
r_0275,3.74E-08
r_0276,-2.41E-08
r_0277,0
r_0278,-0.533363192
r_0279,0
r_0280,0
r_0281,0
r_0282,0
r_0283,-2.124710276
r_0284,0
r_0285,-5.75E-08
r_0286,0
r_0287,3.74E-08
r_0288,0
r_0289,2.41E-08
r_0290,0
r_0291,0
r_0292,0.005246198
r_0293,0
r_0294,0
r_0295,0.5246198
r_0296,-1.00E-29
r_0297,0
r_0298,-0.005246155
r_0299,0.005246198
r_0300,0.524619642
r_0301,0
r_0302,0
r_0303,2.802917817
r_0304,0.005246198
r_0305,0.02623099
r_0306,0
r_0307,0
r_0308,0.005246198
r_0309,0
r_0310,0.005246198
r_0311,0.005246198
r_0312,0.5246198
r_0313,0.524619807
r_0314,0.005246198
r_0315,0.5246198
r_0316,0
r_0317,0
r_0318,0
r_0319,0.031477193
r_0320,0
r_0321,0
r_0322,0.5246198
r_0323,18.12911053
r_0324,0.5246198
r_0325,-1.379999549
r_0326,-0.005246198
r_0327,-0.02623099
r_0328,-0.262309888
r_0329,6.998874141
r_0330,0
r_0331,0.524619776
r_0332,0
r_0333,-0.031477193
r_0334,-0.307375009
r_0335,0
r_0336,-7.768454913
r_0337,-2
r_0338,-0.01
r_0339,0.524619776
r_0340,-1.44
r_0341,-0.005246198
r_0342,-0.005246198
r_0343,-0.005246198
r_0344,-0.005246198
r_0345,3.95E-16
r_0346,0
r_0347,4.45E-11
r_0348,-8.36E-19
r_0349,0
r_0350,2.41E-08
r_0351,0
r_0352,0
r_0353,0.005246198
r_0354,0
r_0355,-3.44E-08
r_0356,0.005246198
r_0357,0
r_0358,0
r_0359,0
r_0360,0
r_0361,-2.41E-08
r_0362,0
r_0363,0
r_0364,-2.04E-07
r_0365,2.04E-07
r_0366,2.90E-33
r_0367,0
r_0368,-8.36E-19
r_0369,0
r_0370,-2.41E-08
r_0371,0
r_0372,0
r_0373,0
r_0374,0
r_0375,-2.23E-07
r_0376,0
r_0377,0
r_0378,0
r_0379,0
r_0380,-1.38E-08
r_0381,0.381223711
r_0382,0
r_0383,0
r_0384,-2.41E-08
r_0385,2.41E-08
r_0386,0
r_0387,2.41E-08
r_0388,0
r_0389,0
r_0390,0
r_0391,0
r_0392,0
r_0393,2.41E-08
r_0394,0
r_0395,0
r_0396,0
r_0397,0
r_0398,0
r_0399,-2.034497345
r_0400,-2.41E-08
r_0401,0.031477193
r_0402,3.95E-16
r_0403,0
r_0404,-3.51E-08
r_0405,0
r_0406,1.074213651
r_0407,0
r_0408,0
r_0409,0
r_0410,-0.535112206
r_0411,3.87314206
r_0412,0
r_0413,0
r_0414,0.026230995
r_0415,0.535112206
r_0416,8.53E-16
r_0417,0
r_0418,0.26493292
r_0419,0.524619846
r_0420,-1.074213651
r_0421,-3.51E-08
r_0422,0
r_0423,0
r_0424,0
r_0425,0.535112206
r_0426,0
r_0427,0
r_0428,0
r_0429,0
r_0430,2.41E-08
r_0431,0
r_0432,0
r_0433,0
r_0434,0
r_0435,0.005246155
r_0436,0
r_0437,0
r_0438,-2.41E-08
r_0439,-0.524619781
r_0440,0.524619642
r_0441,0
r_0442,8.53E-16
r_0443,0.005246198
r_0444,3.6723386
r_0445,0.535112206
r_0446,0
r_0447,0
r_0448,0
r_0449,0
r_0450,0
r_0451,0
r_0452,0
r_0453,0
r_0454,1.72E-09
r_0455,0
r_0456,1.446923141
r_0457,0.010492396
r_0458,2.41E-08
r_0459,0
r_0460,0.01
r_0461,-2.41E-08
r_0462,0
r_0463,0
r_0464,-1.074213651
r_0465,0
r_0466,0
r_0467,0
r_0468,0
r_0469,0
r_0470,0
r_0471,0.898298245
r_0472,1.049239459
r_0473,0
r_0474,0.0052462
r_0475,0.566589453
r_0476,0
r_0477,-4.45E-11
r_0478,0
r_0479,0.524619841
r_0480,0
r_0481,7.91E-34
r_0482,0
r_0483,0
r_0484,0.898298245
r_0485,0.566589453
r_0486,0
r_0487,-8.36E-19
r_0488,0
r_0489,0
r_0490,0
r_0491,0
r_0492,0
r_0493,0.031477193
r_0494,0.005246198
r_0495,0
r_0496,0.535112206
r_0497,0
r_0498,0
r_0499,0
r_0500,0.524619642
r_0501,0
r_0502,0
r_0503,0
r_0504,0
r_0505,0.524619776
r_0506,0
r_0507,0.005246198
BIOMASS_0508,0.642337029
r_0509,-0.005246198
r_0510,-0.005246198
r_0511,0.262309888
r_0512,0.262309888
r_0513,0.524620242
r_0514,0
r_0515,0.524620242
r_0516,0
r_0517,0
r_0518,0
r_0519,0
r_0520,-4.79E-09
r_0521,3.188431784
r_0522,-0.524619781
r_0523,0.01
r_0524,0.01
r_0525,0
r_0526,0.320188926
r_0527,0.005246198
r_0528,0.005246198
r_0529,0.005246198
r_0530,0.642337029
r_0531,0
r_0532,0
r_0533,0
r_0534,0
r_0535,0
r_0536,0
r_0537,0
r_0538,9.69E-31
r_0539,0
r_0540,0
r_0541,0
r_0542,0
r_0543,0
r_0544,0
r_0545,0
r_0546,0
r_0547,0
r_0548,0
r_0549,0
r_0550,0
r_0551,0
r_0552,0
r_0553,0
r_0554,0
r_0555,0
