id,time0,,,
r_0185,0.00E+00,,,
r_0186,0,,,
r_0187,0,,,
r_0188,0,,,
r_0189,0,,,
r_0190,1.004052925,,,
r_0191,0.224233983,,,
r_0192,0.017938719,,,
r_0193,-3.75E-19,,,
r_0194,1.753342618,,,
r_0195,0,,,
r_0196,1.004052925,,,
r_0197,-0.751183844,,,
r_0198,0,,,
r_0199,0,,,
r_0200,-7.404902507,,,
r_0201,-0.00224234,,,
r_0202,-3.62E-17,,,
r_0203,0.00E+00,,,
r_0204,0,,,
r_0205,0,,,
r_0206,-2.14E-17,,,
r_0207,0.00224234,,,
r_0208,0.118844011,,,
r_0209,0.224233983,,,
r_0210,0.00E+00,,,
r_0211,0,,,
r_0212,0.094763231,,,
r_0213,0,,,
r_0214,0,,,
r_0215,0.224233983,,,
r_0216,0,,,
r_0217,6.60E-16,,,
r_0218,0,,,
r_0219,-1.13E-30,,,
r_0220,-4.993231198,,,
r_0221,0.224233983,,,
r_0222,1.004052925,,,
r_0223,0,,,
r_0224,0.975417827,,,
r_0225,0,,,
r_0226,0.00E+00,,,
r_0227,0,,,
r_0228,0.354805014,,,
r_0229,0,,,
r_0230,0,,,
r_0231,0.67718663,,,
r_0232,0.67718663,,,
r_0233,0,,,
r_0234,6.60E-16,,,
r_0235,0.224233983,,,
r_0236,0,,,
r_0237,0,,,
r_0238,0,,,
r_0239,-3.63E-17,,,
r_0240,0.224233983,,,
r_0241,0,,,
r_0242,0.224233983,,,
r_0243,0.228718663,,,
r_0244,0,,,
r_0245,0,,,
r_0246,0,,,
r_0247,0.00224234,,,
r_0248,0.224233983,,,
r_0249,0.450710306,,,
r_0250,-7.25E-17,,,
r_0251,0,,,
r_0252,0.00224234,,,
r_0253,0.00E+00,,,
r_0254,0.224233983,,,
r_0255,0,,,
r_0256,0,,,
r_0257,0.00E+00,,,
r_0258,0,,,
r_0259,0,,,
r_0260,0.00E+00,,,
r_0261,0,,,
r_0262,8.732715877,,,
r_0263,0.322381616,,,
r_0264,0.683913649,,,
r_0265,0.448467967,,,
r_0266,0,,,
r_0267,0,,,
r_0268,0.448467967,,,
r_0269,-3.549428969,,,
r_0270,0.112116992,,,
r_0271,0,,,
r_0272,1.96E-31,,,
r_0273,0.901420613,,,
r_0274,0.00E+00,,,
r_0275,0.00E+00,,,
r_0276,0,,,
r_0277,0.00E+00,,,
r_0278,-0.975417827,,,
r_0279,0.00E+00,,,
r_0280,0,,,
r_0281,0,,,
r_0282,0,,,
r_0283,-0.683913649,,,
r_0284,0,,,
r_0285,0.00E+00,,,
r_0286,0.00E+00,,,
r_0287,0.00E+00,,,
r_0288,0,,,
r_0289,0,,,
r_0290,0,,,
r_0291,0,,,
r_0292,0.00224234,,,
r_0293,0,,,
r_0294,3.63E-17,,,
r_0295,0.224233983,,,
r_0296,-5.41E-32,,,
r_0297,0,,,
r_0298,-0.00224234,,,
r_0299,0.00224234,,,
r_0300,0.224233983,,,
r_0301,0.448467967,,,
r_0302,0,,,
r_0303,3.133342618,,,
r_0304,0.00224234,,,
r_0305,0.011211699,,,
r_0306,0,,,
r_0307,-3.75E-19,,,
r_0308,0.00224234,,,
r_0309,0,,,
r_0310,0.00224234,,,
r_0311,0.00224234,,,
r_0312,0.224233983,,,
r_0313,0.224233983,,,
r_0314,0.00224234,,,
r_0315,0.224233983,,,
r_0316,0,,,
r_0317,0,,,
r_0318,0,,,
r_0319,0.461922006,,,
r_0320,0,,,
r_0321,0,,,
r_0322,0.224233983,,,
r_0323,16.22772981,,,
r_0324,0.224233983,,,
r_0325,-1.38,,,
r_0326,-0.00224234,,,
r_0327,-0.011211699,,,
r_0328,-0.112116992,,,
r_0329,4.993231198,,,
r_0330,6.21E-29,,,
r_0331,0.224233983,,,
r_0332,0,,,
r_0333,-0.461922006,,,
r_0334,-0.118844011,,,
r_0335,3.549428969,,,
r_0336,-5.1645961,,,
r_0337,-2,,,
r_0338,-0.01,,,
r_0339,0,,,
r_0340,-1.44,,,
r_0341,-0.00224234,,,
r_0342,-0.00224234,,,
r_0343,-0.00224234,,,
r_0344,-0.00224234,,,
r_0345,3.62E-17,,,
r_0346,0,,,
r_0347,0,,,
r_0348,0,,,
r_0349,0,,,
r_0350,0,,,
r_0351,0,,,
r_0352,0,,,
r_0353,0.00224234,,,
r_0354,0,,,
r_0355,2.10E-17,,,
r_0356,0.00224234,,,
r_0357,0.224233983,,,
r_0358,0,,,
r_0359,0.00E+00,,,
r_0360,0.129470752,,,
r_0361,0,,,
r_0362,0,,,
r_0363,0,,,
r_0364,0,,,
r_0365,0,,,
r_0366,0,,,
r_0367,0,,,
r_0368,0,,,
r_0369,0,,,
r_0370,0,,,
r_0371,0,,,
r_0372,0,,,
r_0373,0,,,
r_0374,0.448467967,,,
r_0375,0,,,
r_0376,0,,,
r_0377,0,,,
r_0378,0,,,
r_0379,0,,,
r_0380,-6.43E-32,,,
r_0381,0.461922006,,,
r_0382,0,,,
r_0383,0,,,
r_0384,0,,,
r_0385,0,,,
r_0386,6.60E-16,,,
r_0387,0,,,
r_0388,0,,,
r_0389,0,,,
r_0390,0,,,
r_0391,-3.75E-19,,,
r_0392,0,,,
r_0393,0,,,
r_0394,0,,,
r_0395,0,,,
r_0396,0,,,
r_0397,5.41E-32,,,
r_0398,0,,,
r_0399,-1.004052925,,,
r_0400,0,,,
r_0401,0.461922006,,,
r_0402,3.62E-17,,,
r_0403,0.448467967,,,
r_0404,0.00E+00,,,
r_0405,0,,,
r_0406,2.546267409,,,
r_0407,0,,,
r_0408,0.448467967,,,
r_0409,-7.01E-17,,,
r_0410,-0.228718663,,,
r_0411,3.590779944,,,
r_0412,0.224233983,,,
r_0413,0,,,
r_0414,0.459679666,,,
r_0415,0.228718663,,,
r_0416,-6.60E-16,,,
r_0417,0,,,
r_0418,0.113238162,,,
r_0419,0.224233983,,,
r_0420,-2.546267409,,,
r_0421,0.00E+00,,,
r_0422,0,,,
r_0423,6.60E-16,,,
r_0424,0,,,
r_0425,0.67718663,,,
r_0426,-6.05E-18,,,
r_0427,0,,,
r_0428,0,,,
r_0429,0,,,
r_0430,0,,,
r_0431,0,,,
r_0432,0.017938719,,,
r_0433,0.00E+00,,,
r_0434,0,,,
r_0435,0.00224234,,,
r_0436,0,,,
r_0437,0,,,
r_0438,0,,,
r_0439,-0.224233983,,,
r_0440,0.224233983,,,
r_0441,0,,,
r_0442,5.83E-32,,,
r_0443,0.00224234,,,
r_0444,1.569637883,,,
r_0445,0.228718663,,,
r_0446,0,,,
r_0447,0,,,
r_0448,0.224233983,,,
r_0449,0,,,
r_0450,0,,,
r_0451,-6.05E-18,,,
r_0452,0,,,
r_0453,0,,,
r_0454,0,,,
r_0455,0,,,
r_0456,0.322381616,,,
r_0457,0.00448468,,,
r_0458,0,,,
r_0459,0,,,
r_0460,0.01,,,
r_0461,0,,,
r_0462,3.75E-19,,,
r_0463,0,,,
r_0464,-2.546267409,,,
r_0465,0,,,
r_0466,0,,,
r_0467,0.448467967,,,
r_0468,0,,,
r_0469,0,,,
r_0470,3.75E-19,,,
r_0471,0,,,
r_0472,0.448467967,,,
r_0473,0.448467967,,,
r_0474,0.00224234,,,
r_0475,1.753342618,,,
r_0476,0,,,
r_0477,0,,,
r_0478,0,,,
r_0479,0.224233983,,,
r_0480,0,,,
r_0481,6.43E-32,,,
r_0482,0,,,
r_0483,6.60E-16,,,
r_0484,0,,,
r_0485,1.753342618,,,
r_0486,0,,,
r_0487,0,,,
r_0488,0,,,
r_0489,6.60E-16,,,
r_0490,0.017938719,,,
r_0491,0,,,
r_0492,0,,,
r_0493,0.461922006,,,
r_0494,0.00224234,,,
r_0495,0,,,
r_0496,0.228718663,,,
r_0497,0,,,
r_0498,0.00E+00,,,
r_0499,0,,,
r_0500,0.224233983,,,
r_0501,0,,,
r_0502,-0.262952646,,,
r_0503,0,,,
r_0504,0,,,
r_0505,0.224233983,,,
r_0506,0,,,
r_0507,0.00224234,,,
R_BIOMASS_0508,0.274548916,,,
r_0509,-0.00224234,,,
r_0510,-0.00224234,,,
r_0511,0.112116992,,,
r_0512,0.112116992,,,
r_0513,0.224233983,,,
r_0514,0,,,
r_0515,0.224233983,,,
r_0516,0,,,
r_0517,0,,,
r_0518,0,,,
r_0519,0,,,
r_0520,0.00E+00,,,
r_0521,4.346866295,,,
r_0522,-0.224233983,,,
r_0523,0.01,,,
r_0524,0.01,,,
r_0525,0,,,
r_0526,1.174303621,,,
r_0527,0.00224234,,,
r_0528,0.00224234,,,
r_0529,0.00224234,,,
r_0530,0.274548916,,,
r_0531,0,,,
r_0532,-6.23E-29,,,
r_0533,0.448467967,,,
r_0534,0,,,
r_0535,0.448467967,,,
r_0536,0,,,
r_0537,0,,,
r_0538,-6.29E-16,,,
r_0539,0,,,
r_0540,0.448467967,,,
r_0541,0,,,
r_0542,0,,,
r_0543,0,,,
r_0544,0,,,
r_0545,0,,,
r_0546,0,,,
r_0547,0,,,
r_0548,0,,,
r_0549,0,,,
r_0550,0,,,
r_0551,0,,,
r_0552,-0.448467967,,,
r_0553,0,,,
r_0554,0.448467967,,,
r_0555,0,,,
r_0556,-0.006727019,,,
r_0557,0.006727019,,,
r_0558,0,,,
r_0559,0,,,
r_0560,0,,,
r_0561,0,,,
r_0562,0,,,
r_0563,0,,,
r_0564,0,,,
r_0565,3.62E-17,,,
r_0566,0,,,
r_0567,3.62E-17,,,
r_0568,0,,,
r_0570,0,,,
r_0571,0,,,
r_0572,-7.404902507,,,
r_0573,0,,,
r_0574,6.60E-16,,,
r_0575,0,,,
r_0576,0,,,
r_0577,0,,,
r_0578,0.583523677,,,
r_0579,0.322381616,,,
r_0580,0,,,
r_0581,0,,,
r_0582,0,,,
r_0583,0,,,
r_0584,11.8660585,,,
r_0586,0,,,
r_0587,0,,,
r_0588,0,,,
r_0589,0,,,
r_0590,0,,,
r_0591,0,,,
r_0592,0,,,
r_0593,0,,,
r_0594,0,,,
r_0595,0,,,
r_0596,0.00E+00,,,
r_0597,0,,,
r_0598,0.00E+00,,,
r_0599,0,,,
r_0600,0,,,
r_0601,0.00E+00,,,
r_0602,0,,,
r_0603,0,,,
r_0604,0.00E+00,,,
r_0605,0.00E+00,,,
r_0606,0,,,
r_0607,0,,,
r_0608,0,,,
r_0609,0,,,
r_0610,0,,,
r_0611,-0.00448468,,,
r_0612,0,,,
r_0613,0,,,
r_0614,0,,,
r_0615,0,,,
r_0616,0,,,
r_0617,0.224233983,,,
r_0618,0,,,
r_0619,0,,,
r_0620,0,,,
r_0621,0,,,
r_0622,0,,,
r_0623,0,,,
r_0624,0.00E+00,,,
r_0625,0,,,
r_0626,0,,,
r_0627,0,,,
r_0628,0,,,
r_0629,0.00E+00,,,
r_0630,0,,,
r_0631,0.00E+00,,,
r_0632,0,,,
r_0633,0,,,
r_0634,0,,,
r_0635,0,,,
r_0636,0,,,
r_0637,0,,,
r_0638,0,,,
r_0639,0,,,
r_0640,0,,,
r_0641,1.228286908,,,
r_0642,1.228286908,,,
r_0643,0,,,
r_0644,0,,,
r_0645,0,,,
r_0646,-0.461922006,,,
r_0647,0,,,
r_0648,0,,,
r_0649,0,,,
r_0650,0,,,
r_0651,-1.228286908,,,
r_0653,0,,,
r_0654,0,,,
r_0655,0.00E+00,,,
r_0656,0,,,
r_0657,0,,,
r_0658,0,,,
r_0659,0,,,
r_0660,0,,,
r_0661,0,,,
r_0662,0,,,
r_0663,0,,,
r_0665,0.00E+00,,,
r_0666,0.00E+00,,,
r_0667,0.00E+00,,,
r_0668,0.00E+00,,,
r_0669,0,,,
r_0670,0,,,
r_0671,0,,,
r_0672,-7.01E-17,,,
r_0673,0,,,
r_0674,0,,,
r_0675,-7.01E-17,,,
r_0676,0,,,
r_0678,0,,,
r_0679,0,,,
r_0680,0,,,
r_0681,0,,,
r_0682,0,,,
r_0683,0,,,
r_0684,0,,,
r_0685,-3.063412256,,,
r_0687,0,,,
r_0688,0,,,
r_0689,0,,,
r_0690,0,,,
r_0692,0,,,
r_0693,0,,,
r_0694,0,,,
r_0695,0,,,
r_0696,0,,,
r_0697,0.00E+00,,,
r_0698,0,,,
r_0699,0,,,
r_0700,0.00E+00,,,
r_0701,0,,,
r_0702,0.00E+00,,,
r_0703,0,,,
r_0704,0,,,
r_0705,0,,,
r_0706,0,,,
r_0707,0,,,
r_0708,3.75E-19,,,
r_0709,3.99E-29,,,
r_0710,0,,,
r_0711,5.29E-31,,,
r_0712,0,,,
r_0713,-1.43E-31,,,
r_0714,0,,,
r_0715,0,,,
r_0716,0,,,
r_0717,0,,,
r_0718,6.05E-18,,,
r_0719,6.05E-18,,,
r_0720,6.05E-18,,,
r_0721,6.05E-18,,,
r_0722,0,,,
r_0723,0.600947075,,,
r_0725,-0.448467967,,,
r_0726,0,,,
r_0727,0,,,
r_0728,3.443203343,,,
r_0729,0,,,
r_0731,0,,,
r_0732,0,,,
r_0733,0,,,
r_0734,0,,,
r_0735,0,,,
r_0736,0,,,
r_0737,0,,,
r_0738,0,,,
r_0739,0,,,
r_0740,0,,,
r_0741,0.00E+00,,,
r_0742,0,,,
r_0743,0,,,
r_0744,0,,,
r_0745,0,,,
r_0746,0,,,
r_0747,0,,,
r_0748,0,,,
r_0749,0,,,
r_0750,0,,,
r_0751,0,,,
r_0752,0,,,
r_0753,0,,,
r_0754,0,,,
r_0755,0,,,
r_0756,0,,,
r_0757,0,,,
r_0758,0,,,
r_0759,0,,,
r_0760,0,,,
r_0761,0,,,
r_0762,0,,,
r_0763,0,,,
r_0764,0,,,
r_0765,0,,,
r_0766,0,,,
r_0767,0,,,
r_0768,0,,,
r_0769,0.00E+00,,,
r_0770,0,,,
r_0771,0,,,
r_0772,0,,,
r_0773,0,,,
r_0774,0,,,
r_0775,0,,,
r_0776,0,,,
r_0777,0,,,
r_0778,0,,,
r_0779,0,,,
r_0780,0,,,
r_0781,0,,,
r_0782,0,,,
r_0783,0,,,
r_0784,0,,,
r_0785,0,,,
r_0786,0,,,
r_0787,0,,,
r_0788,0,,,
r_0789,0,,,
