id,time0
r_0237,0.047961654
r_0238,0
r_0239,0.040301207
r_0240,0
r_0241,3.29E-31
r_0242,-9.88E-32
r_0243,0.133460387
r_0244,0
r_0245,-2.20E-31
r_0246,0.022793305
r_0247,3.39E-09
r_0248,0
r_0249,0
r_0250,0
r_0251,0
r_0252,0
r_0253,0
r_0254,9.88E-32
r_0255,0
r_0256,0
r_0257,0.034850633
r_0258,1.37E-31
r_0259,0
r_0260,-0.168307088
r_0261,-3.95E-31
r_0262,1.720777002
r_0263,0.524197711
r_0264,0.693534569
r_0265,0.102900212
r_0266,-1.43E-23
r_0267,3.29E-31
r_0268,0
r_0269,0
r_0270,0
r_0271,0
r_0272,0.259373574
r_0273,0.259105014
r_0274,0.034850633
r_0275,0.109550787
r_0276,-4.39E-31
r_0277,0.034850633
r_0278,-0.161525788
r_0279,0.034850633
r_0280,0
r_0281,0
r_0282,0
r_0283,-0.693534569
r_0284,0
r_0285,-0.168307088
r_0286,-3.39E-09
r_0287,0.109550787
r_0288,0
r_0289,3.88E-31
r_0290,0
r_0291,0
r_0292,0
r_0293,0
r_0294,8.73E-28
r_0295,-3.11E-31
r_0296,0.151095816
r_0297,4.38E-30
r_0298,5.49E-25
r_0299,0
r_0300,0.204241993
r_0301,0
r_0302,0
r_0303,0.617686994
r_0304,0
r_0305,4.54E-25
r_0306,0
r_0307,1.78E-39
r_0308,0
r_0309,0
r_0310,0
r_0311,0
r_0312,-4.14E-31
r_0313,0.090512546
r_0314,0
r_0315,2.49E-31
r_0316,0
r_0317,0
r_0318,0
r_0319,0.055661912
r_0320,0
r_0321,0
r_0322,2.59E-31
r_0323,4.433760679
r_0324,-4.14E-31
r_0325,-0.334873737
r_0326,0
r_0327,-4.54E-25
r_0328,0
r_0329,3.560445569
r_0330,0.008820246
r_0331,0
r_0332,0
r_0333,-0.055661912
r_0334,-0.677922313
r_0335,0
r_0336,-5.007866532
r_0337,-0.634128587
r_0338,-0.006
r_0339,0
r_0340,-1.44
r_0341,0
r_0342,-3.39E-09
r_0343,0
r_0344,0
r_0345,0
r_0346,0
r_0347,0
r_0348,-3.39E-09
r_0349,6.78E-09
r_0350,2.59E-31
r_0351,-3.39E-09
r_0352,0
r_0353,0
r_0354,0
r_0355,-0.100730544
r_0356,3.39E-09
r_0357,0
r_0358,0
r_0359,0.100730544
r_0360,0
r_0361,-4.05E-31
r_0362,0
r_0363,0
r_0364,-8.48E-25
r_0365,8.48E-25
r_0366,0.040301207
r_0367,-4.98E-24
r_0368,-3.39E-09
r_0369,0
r_0370,-3.29E-31
r_0371,0
r_0372,0
r_0373,0
r_0374,0
r_0375,0
r_0376,0
r_0377,0
r_0378,0
r_0379,0
r_0380,-6.52E-25
r_0381,0.055661912
r_0382,0
r_0383,0
r_0384,-1.82E-31
r_0385,3.14E-31
r_0386,-0.100730544
r_0387,5.18E-31
r_0388,0
r_0389,0
r_0390,0
r_0391,1.78E-39
r_0392,0
r_0393,2.20E-31
r_0394,-0.228142042
r_0395,0
r_0396,0
r_0397,0
r_0398,0
r_0399,-0.888453506
r_0400,-4.86E-31
r_0401,0.055661912
r_0402,0
r_0403,0.125693517
r_0404,0.022793305
r_0405,0
r_0406,0.321294658
r_0407,0
r_0408,0
r_0409,0
r_0410,-0.259373564
r_0411,0.975670312
r_0412,0
r_0413,0
r_0414,0.055661912
r_0415,0.259373564
r_0416,6.59E-14
r_0417,0
r_0418,0.102120997
r_0419,0.206957729
r_0420,-0.321294658
r_0421,0.022793305
r_0422,0
r_0423,0
