id,time0,,,
r_0001,1.38E-30,,,
r_0002,0,,,
r_0003,0,,,
r_0004,0.007781955,,,
r_0005,0.778195489,,,
r_0006,0.00E+00,,,
r_0007,0.00E+00,,,
r_0008,0,,,
r_0009,0,,,
r_0010,-4.28E-31,,,
r_0011,3.574473684,,,
r_0012,0,,,
r_0013,-0.778195489,,,
r_0014,0.00E+00,,,
r_0015,0,,,
r_0016,0,,,
r_0017,-0.002593985,,,
r_0018,0,,,
r_0019,0.00E+00,,,
r_0020,-0.007781955,,,
r_0021,0.01,,,
r_0022,0.793759398,,,
r_0023,0,,,
r_0024,0,,,
r_0025,0,,,
r_0026,0,,,
r_0027,0.00E+00,,,
r_0028,-0.012969925,,,
r_0029,0,,,
r_0030,0.00E+00,,,
r_0031,0,,,
r_0032,0,,,
r_0033,0.00E+00,,,
r_0034,1.44,,,
r_0035,0,,,
r_0036,0.00E+00,,,
r_0037,0.778195489,,,
r_0038,-2.95E-17,,,
r_0039,0,,,
r_0040,0.00E+00,,,
r_0041,1.80E-16,,,
r_0042,0.00E+00,,,
r_0043,7.003759398,,,
r_0044,-4.28E-31,,,
r_0045,1.23E-32,,,
r_0046,0,,,
r_0047,0.00E+00,,,
r_0048,0,,,
r_0049,0.778195489,,,
r_0050,0.389097744,,,
r_0051,-0.778195489,,,
r_0052,0.00E+00,,,
r_0053,0,,,
r_0054,0.00E+00,,,
r_0055,0,,,
r_0056,0,,,
r_0057,0.778195489,,,
r_0058,0.00E+00,,,
r_0059,0,,,
r_0060,-2.95E-17,,,
r_0061,0,,,
r_0062,0,,,
r_0063,0.00E+00,,,
r_0064,-2.95E-17,,,
r_0065,0.778195489,,,
r_0066,-0.007781955,,,
r_0067,0.00E+00,,,
r_0068,0,,,
r_0069,-0.778195489,,,
r_0070,-0.778195489,,,
r_0071,0.01556391,,,
r_0072,0,,,
r_0073,0.00E+00,,,
r_0074,-1.86E-15,,,
r_0075,0.793759398,,,
r_0076,0.778195489,,,
r_0077,0,,,
r_0078,0,,,
r_0079,0,,,
r_0080,-1.86E-15,,,
r_0081,0.00E+00,,,
r_0082,0.007781955,,,
r_0083,-0.778195489,,,
r_0084,0.00E+00,,,
r_0085,0.00E+00,,,
r_0086,0,,,
r_0087,0.00E+00,,,
r_0088,0.007781955,,,
r_0089,0.00E+00,,,
r_0090,0.00E+00,,,
r_0091,0,,,
r_0092,2,,,
r_0093,-0.01,,,
r_0094,0,,,
r_0095,2.679172932,,,
r_0096,0.00E+00,,,
r_0097,-0.788947368,,,
r_0098,0.00E+00,,,
r_0099,0,,,
r_0100,-0.007781955,,,
r_0101,0.793759398,,,
r_0102,-2.95E-17,,,
r_0103,0,,,
r_0104,0,,,
r_0105,0,,,
r_0106,0.00E+00,,,
r_0107,0.778195489,,,
r_0108,0.00E+00,,,
